frame,time_seconds,track_id,class_name,center_x,center_y,plate_text
31,0.62,7,car,333,420,
40,0.80,10,car,141,420,
46,0.92,6,car,528,421,F4W
55,1.10,25,motorcycle,1040,420,
166,3.32,4,car,714,420,UL43
166,3.32,21,car,916,420,
217,4.34,2,car,335,420,
265,5.30,71,motorcycle,1195,431,
292,5.84,22,car,513,420,
352,7.04,84,motorcycle,1150,434,
367,7.34,15,car,125,422,
400,8.00,13,car,341,420,
523,10.46,8,car,687,420,
541,10.82,14,car,496,420,
571,11.42,12,car,1016,420,
595,11.90,133,motorcycle,309,431,
